Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP002446,1,1,2,2,2,2309,1255,125,360,0,1,2
LP002447,1,1,2,2,2,1958,1456,60,300,-99999,3,1
LP002448,1,1,0,1,2,3948,1733,149,360,0,1,2
LP002449,1,1,0,1,2,2483,2466,90,180,0,1,1
LP002453,1,2,0,1,1,7085,0,84,360,1,2,1
LP002455,1,1,2,1,2,3859,0,96,360,1,2,1
LP002459,1,1,0,1,2,4301,0,118,360,1,3,1
LP002467,1,1,0,1,2,3708,2569,173,360,1,3,2
LP002472,1,2,2,1,2,4354,0,136,360,1,1,1
LP002473,1,1,0,1,2,8334,0,160,360,1,2,2
LP002478,-99999,1,0,1,1,2083,4083,160,360,-99999,2,1
LP002484,1,1,3,1,2,7740,0,128,180,1,3,1
LP002487,1,1,0,1,2,3015,2188,153,360,1,1,1
LP002489,2,2,1,2,-99999,5191,0,132,360,1,2,1
LP002493,1,2,0,1,2,4166,0,98,360,0,2,2
LP002494,1,2,0,1,2,6000,0,140,360,1,1,1
LP002500,1,1,3,2,2,2947,1664,70,180,0,3,2
LP002501,-99999,1,0,1,2,16692,0,110,360,1,2,1
LP002502,2,1,2,2,-99999,210,2917,98,360,1,2,1
LP002505,1,1,0,1,2,4333,2451,110,360,1,3,2
LP002515,1,1,1,1,1,3450,2079,162,360,1,2,1
LP002517,1,1,1,2,2,2653,1500,113,180,0,1,2
LP002519,1,1,3,1,2,4691,0,100,360,1,2,1
LP002522,2,2,0,1,1,2500,0,93,360,-99999,3,1
LP002524,1,2,2,1,2,5532,4648,162,360,1,1,1
LP002527,1,1,2,1,1,16525,1014,150,360,1,1,1
LP002529,1,1,2,1,2,6700,1750,230,300,1,2,1
LP002530,-99999,1,2,1,2,2873,1872,132,360,0,2,2
LP002531,1,1,1,1,1,16667,2250,86,360,1,2,1
LP002533,1,1,2,1,2,2947,1603,-99999,360,1,3,2
LP002534,2,2,0,2,2,4350,0,154,360,1,1,1
LP002536,1,1,3,2,2,3095,0,113,360,1,1,1
LP002537,1,1,0,1,2,2083,3150,128,360,1,2,1
LP002541,1,1,0,1,2,10833,0,234,360,1,2,1
LP002543,1,1,2,1,2,8333,0,246,360,1,2,1
LP002544,1,1,1,2,2,1958,2436,131,360,1,1,1
LP002545,1,2,2,1,2,3547,0,80,360,0,1,2
LP002547,1,1,1,1,2,18333,0,500,360,1,3,2
LP002555,1,1,2,1,1,4583,2083,160,360,1,2,1
LP002556,1,2,0,1,2,2435,0,75,360,1,3,2
LP002560,1,2,0,2,2,2699,2785,96,360,-99999,2,1
LP002562,1,1,1,2,2,5333,1131,186,360,-99999,3,1
LP002571,1,2,0,2,2,3691,0,110,360,1,1,1
LP002582,2,2,0,2,1,17263,0,225,360,1,2,1
LP002585,1,1,0,1,2,3597,2157,119,360,0,1,2
LP002586,2,1,1,1,2,3326,913,105,84,1,2,1
LP002587,1,1,0,2,2,2600,1700,107,360,1,1,1
LP002588,1,1,0,1,2,4625,2857,111,12,-99999,3,1
LP002600,1,1,1,1,1,2895,0,95,360,1,2,1
LP002602,1,2,0,1,2,6283,4416,209,360,0,1,2
LP002603,2,2,0,1,2,645,3683,113,480,1,1,1
LP002606,2,2,0,1,2,3159,0,100,360,1,2,1
LP002615,1,1,2,1,2,4865,5624,208,360,1,2,1
LP002618,1,1,1,2,2,4050,5302,138,360,-99999,1,2
LP002619,1,1,0,2,2,3814,1483,124,300,1,2,1
LP002622,1,1,2,1,2,3510,4416,243,360,1,1,1
LP002624,1,1,0,1,2,20833,6667,480,360,-99999,3,1
LP002625,-99999,2,0,1,2,3583,0,96,360,1,3,2
LP002626,1,1,0,1,1,2479,3013,188,360,1,3,1
LP002634,2,2,1,1,2,13262,0,40,360,1,3,1
LP002637,1,2,0,2,2,3598,1287,100,360,1,1,2
LP002640,1,1,1,1,2,6065,2004,250,360,1,2,1
LP002643,1,1,2,1,2,3283,2035,148,360,1,3,1
LP002648,1,1,0,1,2,2130,6666,70,180,1,2,2
LP002652,1,2,0,1,2,5815,3666,311,360,1,1,2
LP002659,1,1,3,1,2,3466,3428,150,360,1,1,1
LP002670,2,1,2,1,2,2031,1632,113,480,1,2,1
LP002682,1,1,-99999,2,2,3074,1800,123,360,0,2,2
LP002683,1,2,0,1,2,4683,1915,185,360,1,2,2
LP002684,2,2,0,2,2,3400,0,95,360,1,1,2
LP002689,1,1,2,2,2,2192,1742,45,360,1,2,1
LP002690,1,2,0,1,2,2500,0,55,360,1,2,1
LP002692,1,1,3,1,1,5677,1424,100,360,1,1,1
LP002693,1,1,2,1,1,7948,7166,480,360,1,1,1
LP002697,1,2,0,1,2,4680,2087,-99999,360,1,2,2
LP002699,1,1,2,1,1,17500,0,400,360,1,1,1
LP002705,1,1,0,1,2,3775,0,110,360,1,2,1
LP002706,1,1,1,2,2,5285,1430,161,360,0,2,1
LP002714,1,2,1,2,2,2679,1302,94,360,1,2,1
LP002716,1,2,0,2,2,6783,0,130,360,1,2,1
LP002717,1,1,0,1,2,1025,5500,216,360,-99999,1,1
LP002720,1,1,3,1,2,4281,0,100,360,1,3,1
LP002723,1,2,2,1,2,3588,0,110,360,0,1,2
LP002729,1,2,1,1,2,11250,0,196,360,-99999,2,2
LP002731,2,2,0,2,1,18165,0,125,360,1,3,1
LP002732,1,2,0,2,-99999,2550,2042,126,360,1,1,1
LP002734,1,1,0,1,2,6133,3906,324,360,1,3,1
LP002738,1,2,2,1,2,3617,0,107,360,1,2,1
LP002739,1,1,0,2,2,2917,536,66,360,1,1,2
LP002740,1,1,3,1,2,6417,0,157,180,1,1,1
LP002741,2,1,1,1,2,4608,2845,140,180,1,2,1
LP002743,2,2,0,1,2,2138,0,99,360,0,2,2
LP002753,2,2,1,1,-99999,3652,0,95,360,1,2,1
LP002755,1,1,1,2,2,2239,2524,128,360,1,3,1
LP002757,2,1,0,2,2,3017,663,102,360,-99999,2,1
LP002767,1,1,0,1,2,2768,1950,155,360,1,1,1
LP002768,1,2,0,2,2,3358,0,80,36,1,2,2
LP002772,1,2,0,1,2,2526,1783,145,360,1,1,1
LP002776,2,2,0,1,2,5000,0,103,360,0,2,2
LP002777,1,1,0,1,2,2785,2016,110,360,1,1,1
LP002778,1,1,2,1,1,6633,0,-99999,360,0,1,2
LP002784,1,1,1,2,2,2492,2375,-99999,360,1,1,1
LP002785,1,1,1,1,2,3333,3250,158,360,1,3,1
LP002788,1,1,0,2,2,2454,2333,181,360,0,3,2
LP002789,1,1,0,1,2,3593,4266,132,180,0,1,2
LP002792,1,1,1,1,2,5468,1032,26,360,1,2,1
LP002794,2,2,0,1,2,2667,1625,84,360,-99999,3,1
LP002795,1,1,3,1,1,10139,0,260,360,1,2,1
LP002798,1,1,0,1,2,3887,2669,162,360,1,2,1
LP002804,2,1,0,1,2,4180,2306,182,360,1,2,1
LP002807,1,1,2,2,2,3675,242,108,360,1,2,1
LP002813,2,1,1,1,1,19484,0,600,360,1,2,1
LP002820,1,1,0,1,2,5923,2054,211,360,1,1,1
LP002821,1,2,0,2,1,5800,0,132,360,1,2,1
LP002832,1,1,2,1,2,8799,0,258,360,0,3,2
LP002833,1,1,0,2,2,4467,0,120,360,-99999,1,1
LP002836,1,2,0,1,2,3333,0,70,360,1,3,1
LP002837,1,1,3,1,2,3400,2500,123,360,0,1,2
LP002840,2,2,0,1,2,2378,0,9,360,1,3,2
LP002841,1,1,0,1,2,3166,2064,104,360,0,3,2
LP002842,1,1,1,1,2,3417,1750,186,360,1,3,1
LP002847,1,1,-99999,1,2,5116,1451,165,360,0,3,2
LP002855,1,1,2,1,2,16666,0,275,360,1,3,1
LP002862,1,1,2,2,2,6125,1625,187,480,1,2,2
LP002863,1,1,3,1,2,6406,0,150,360,1,2,2
LP002868,1,1,2,1,2,3159,461,108,84,1,3,1
LP002872,-99999,1,0,1,2,3087,2210,136,360,0,2,2
LP002874,1,2,0,1,2,3229,2739,110,360,1,3,1
LP002877,1,1,1,1,2,1782,2232,107,360,1,1,1
LP002888,1,2,0,1,-99999,3182,2917,161,360,1,3,1
LP002892,1,1,2,1,2,6540,0,205,360,1,2,1
LP002893,1,2,0,1,2,1836,33837,90,360,1,3,2
LP002894,2,1,0,1,2,3166,0,36,360,1,2,1
LP002898,1,1,1,1,2,1880,0,61,360,-99999,1,2
LP002911,1,1,1,1,2,2787,1917,146,360,0,1,2
LP002912,1,1,1,1,2,4283,3000,172,84,1,1,2
LP002916,1,1,0,1,2,2297,1522,104,360,1,3,1
LP002917,2,2,0,2,2,2165,0,70,360,1,2,1
LP002925,-99999,2,0,1,2,4750,0,94,360,1,2,1
LP002926,1,1,2,1,1,2726,0,106,360,0,2,2
LP002928,1,1,0,1,2,3000,3416,56,180,1,2,1
LP002931,1,1,2,1,1,6000,0,205,240,1,2,2
LP002933,-99999,2,3,1,1,9357,0,292,360,1,2,1
LP002936,1,1,0,1,2,3859,3300,142,180,1,1,1
LP002938,1,1,0,1,1,16120,0,260,360,1,3,1
LP002940,1,2,0,2,2,3833,0,110,360,1,1,1
LP002941,1,1,2,2,1,6383,1000,187,360,1,1,2
LP002943,1,2,-99999,1,2,2987,0,88,360,0,2,2
LP002945,1,1,0,1,1,9963,0,180,360,1,1,1
LP002948,1,1,2,1,2,5780,0,192,360,1,3,1
LP002949,2,2,3,1,-99999,416,41667,350,180,-99999,3,2
LP002950,1,1,0,2,-99999,2894,2792,155,360,1,1,1
LP002953,1,1,3,1,2,5703,0,128,360,1,3,1
LP002958,1,2,0,1,2,3676,4301,172,360,1,1,1
LP002959,2,1,1,1,2,12000,0,496,360,1,2,1
LP002960,1,1,0,2,2,2400,3800,-99999,180,1,3,2
LP002961,1,1,1,1,2,3400,2500,173,360,1,2,1
LP002964,1,1,2,2,2,3987,1411,157,360,1,1,1
LP002974,1,1,0,1,2,3232,1950,108,360,1,1,1
LP002978,2,2,0,1,2,2900,0,71,360,1,1,1
LP002979,1,1,3,1,2,4106,0,40,180,1,1,1
LP002983,1,1,1,1,2,8072,240,253,360,1,3,1
LP002984,1,1,2,1,2,7583,0,187,360,1,3,1
LP002990,2,2,0,1,1,4583,0,133,360,0,2,2
